combination|similarity
20_LDA_5_True_DBSCAN_1.5_3.csv|0.0
20_LDA_10_True_DBSCAN_1.5_3.csv|0.0
20_LDA_20_True_DBSCAN_1.5_3.csv|0.0
20_LDA_5_True_DBSCAN_1.6_3.csv|0.0
20_LDA_10_True_DBSCAN_1.6_3.csv|0.0
20_LDA_20_True_DBSCAN_1.6_3.csv|0.0
20_LDA_5_True_DBSCAN_1.7_3.csv|0.0
20_LDA_10_True_DBSCAN_1.7_3.csv|0.0
20_LDA_20_True_DBSCAN_1.7_3.csv|0.0
20_LDA_5_True_DBSCAN_1.8_3.csv|0.0
20_LDA_10_True_DBSCAN_1.8_3.csv|0.0
20_LDA_20_True_DBSCAN_1.8_3.csv|0.0
20_LDA_5_True_DBSCAN_1.9_3.csv|0.0
20_LDA_10_True_DBSCAN_1.9_3.csv|0.0
20_LDA_20_True_DBSCAN_1.9_3.csv|0.0
20_LDA_5_True_DBSCAN_2.0_3.csv|0.0
20_LDA_10_True_DBSCAN_2.0_3.csv|0.0
20_LDA_20_True_DBSCAN_2.0_3.csv|0.0
20_LDA_5_True_DBSCAN_0.1_4.csv|0.2
20_LDA_10_True_DBSCAN_0.1_4.csv|0.2
20_LDA_20_True_DBSCAN_0.1_4.csv|0.2777777777777778
20_LDA_5_True_DBSCAN_0.2_4.csv|0.0
20_LDA_10_True_DBSCAN_0.2_4.csv|0.375
20_LDA_20_True_DBSCAN_0.2_4.csv|0.2777777777777778
20_LDA_5_True_DBSCAN_0.3_4.csv|0.0
20_LDA_10_True_DBSCAN_0.3_4.csv|0.4666666666666667
20_LDA_20_True_DBSCAN_0.3_4.csv|0.35
20_LDA_5_True_DBSCAN_0.4_4.csv|0.09090909090909091
20_LDA_10_True_DBSCAN_0.4_4.csv|0.35
20_LDA_20_True_DBSCAN_0.4_4.csv|0.35
20_LDA_5_True_DBSCAN_0.5_4.csv|0.0
20_LDA_10_True_DBSCAN_0.5_4.csv|0.35
20_LDA_20_True_DBSCAN_0.5_4.csv|0.4375
20_LDA_5_True_DBSCAN_0.6_4.csv|0.125
20_LDA_10_True_DBSCAN_0.6_4.csv|0.35714285714285715
20_LDA_20_True_DBSCAN_0.6_4.csv|0.35
